code,name
10100,"Aberdeen, SD"
10140,"Aberdeen, WA"
10180,"Abilene, TX"
10220,"Ada, OK"
10260,"Adjuntas, PR"
10300,"Adrian, MI"
10380,"Aguadilla-Isabela-San Sebastian, PR"
10420,"Akron, OH"
10460,"Alamogordo, NM"
10500,"Albany, GA"
10540,"Albany-Lebanon, OR"
10580,"Albany-Schenectady-Troy, NY"
10620,"Albemarle, NC"
10660,"Albert Lea, MN"
10700,"Albertville, AL"
10740,"Albuquerque, NM"
10760,"Alexander City, AL"
10780,"Alexandria, LA"
10820,"Alexandria, MN"
10880,"Allegan, MI"
10900,"Allentown-Bethlehem-Easton, PA-NJ"
10940,"Alma, MI"
10980,"Alpena, MI"
11020,"Altoona, PA"
11060,"Altus, OK"
11100,"Amarillo, TX"
11140,"Americus, GA"
11180,"Ames, IA"
11220,"Amsterdam, NY"
11260,"Anchorage, AK"
11300,"Anderson, IN"
11340,"Anderson, SC"
11460,"Ann Arbor, MI"
11500,"Anniston-Oxford, AL"
11540,"Appleton, WI"
11620,"Ardmore, OK"
11660,"Arkadelphia, AR"
11700,"Asheville, NC"
11740,"Ashland, OH"
11780,"Ashtabula, OH"
11820,"Astoria, OR"
11900,"Athens, OH"
11940,"Athens, TN"
12020,"Athens-Clarke County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA"
12100,"Atlantic City, NJ"
12140,"Auburn, IN"
12180,"Auburn, NY"
12220,"Auburn-Opelika, AL"
12260,"Augusta-Richmond County, GA-SC"
12300,"Augusta-Waterville, ME"
12420,"Austin-Round Rock, TX"
12540,"Bakersfield, CA"
12580,"Baltimore-Towson, MD"
12620,"Bangor, ME"
12660,"Baraboo, WI"
12700,"Barnstable Town, MA"
12740,"Barre, VT"
12780,"Bartlesville, OK"
12860,"Batavia, NY"
12900,"Batesville, AR"
12940,"Baton Rouge, LA"
12980,"Battle Creek, MI"
13020,"Bay City, MI"
13060,"Bay City, TX"
13100,"Beatrice, NE"
13140,"Beaumont-Port Arthur, TX"
13180,"Beaver Dam, WI"
13220,"Beckley, WV"
13260,"Bedford, IN"
13340,"Bellefontaine, OH"
13380,"Bellingham, WA"
13420,"Bemidji, MN"
13460,"Bend, OR"
13540,"Bennington, VT"
13620,"Berlin, NH-VT"
13660,"Big Rapids, MI"
13700,"Big Spring, TX"
13740,"Billings, MT"
13780,"Binghamton, NY"
13820,"Birmingham-Hoover, AL"
13860,"Bishop, CA"
13900,"Bismarck, ND"
13940,"Blackfoot, ID"
13980,"Blacksburg-Christiansburg-Radford, VA"
14020,"Bloomington, IN"
14060,"Bloomington-Normal, IL"
14140,"Bluefield, WV-VA"
14180,"Blytheville, AR"
14260,"Boise City-Nampa, ID"
14380,"Boone, NC"
14420,"Borger, TX"
14460,"Boston-Cambridge-Quincy, MA-NH"
14500,"Boulder, CO"
14540,"Bowling Green, KY"
14580,"Bozeman, MT"
14600,"Bradenton-Sarasota-Venice, FL"
14660,"Brainerd, MN"
14700,"Branson, MO"
14740,"Bremerton-Silverdale, WA"
14820,"Brevard, NC"
14860,"Bridgeport-Stamford-Norwalk, CT"
14940,"Brigham City, UT"
15060,"Brookings, OR"
15100,"Brookings, SD"
15140,"Brownsville, TN"
15180,"Brownsville-Harlingen, TX"
15220,"Brownwood, TX"
15260,"Brunswick, GA"
15380,"Buffalo-Niagara Falls, NY"
15420,"Burley, ID"
15460,"Burlington, IA-IL"
15500,"Burlington, NC"
15540,"Burlington-South Burlington, VT"
15580,"Butte-Silver Bow, MT"
15620,"Cadillac, MI"
15700,"Cambridge, MD"
15740,"Cambridge, OH"
15780,"Camden, AR"
15860,"Canon City, CO"
15940,"Canton-Massillon, OH"
15980,"Cape Coral-Fort Myers, FL"
16020,"Cape Girardeau-Jackson, MO-IL"
16060,"Carbondale, IL"
16100,"Carlsbad-Artesia, NM"
16180,"Carson City, NV"
16220,"Casper, WY"
16260,"Cedar City, UT"
16300,"Cedar Rapids, IA"
16380,"Celina, OH"
16420,"Central City, KY"
16500,"Centralia, WA"
16540,"Chambersburg, PA"
16580,"Champaign-Urbana, IL"
16620,"Charleston, WV"
16660,"Charleston-Mattoon, IL"
16700,"Charleston-North Charleston, SC"
16740,"Charlotte-Gastonia-Concord, NC-SC"
16820,"Charlottesville, VA"
16860,"Chattanooga, TN-GA"
16900,"Chester, SC"
16940,"Cheyenne, WY"
16980,"Chicago-Naperville-Joliet, IL-IN-WI"
17020,"Chico, CA"
17060,"Chillicothe, OH"
17140,"Cincinnati-Middletown, OH-KY-IN"
17200,"Claremont, NH"
17220,"Clarksburg, WV"
17260,"Clarksdale, MS"
17300,"Clarksville, TN-KY"
17340,"Clearlake, CA"
17380,"Cleveland, MS"
17420,"Cleveland, TN"
17460,"Cleveland-Elyria-Mentor, OH"
17500,"Clewiston, FL"
17540,"Clinton, IA"
17580,"Clovis, NM"
17660,"Coeur d'Alene, ID"
17700,"Coffeyville, KS"
17740,"Coldwater, MI"
17820,"Colorado Springs, CO"
17860,"Columbia, MO"
17900,"Columbia, SC"
17940,"Columbia, TN"
17980,"Columbus, GA-AL"
18020,"Columbus, IN"
18060,"Columbus, MS"
18100,"Columbus, NE"
18140,"Columbus, OH"
18180,"Concord, NH"
18260,"Cookeville, TN"
18300,"Coos Bay, OR"
18340,"Corbin, KY"
18380,"Cordele, GA"
18420,"Corinth, MS"
18500,"Corning, NY"
18580,"Corpus Christi, TX"
18620,"Corsicana, TX"
18660,"Cortland, NY"
18700,"Corvallis, OR"
18740,"Coshocton, OH"
18820,"Crawfordsville, IN"
18860,"Crescent City, CA"
18980,"Cullman, AL"
19020,"Culpeper, VA"
19060,"Cumberland, MD-WV"
19100,"Dallas-Fort Worth-Arlington, TX"
19140,"Dalton, GA"
19220,"Danville, KY"
19260,"Danville, VA"
19300,"Daphne-Fairhope-Foley, AL"
19340,"Davenport-Moline-Rock Island, IA-IL"
19380,"Dayton, OH"
19460,"Decatur, AL"
19500,"Decatur, IL"
19580,"Defiance, OH"
19620,"Del Rio, TX"
19660,"Deltona-Daytona Beach-Ormond Beach, FL"
19700,"Deming, NM"
19740,"Denver-Aurora, CO"
19760,"De Ridder, LA"
19780,"Des Moines-West Des Moines, IA"
19820,"Detroit-Warren-Livonia, MI"
19860,"Dickinson, ND"
19900,"Dillon, SC"
19980,"Dodge City, KS"
20020,"Dothan, AL"
20060,"Douglas, GA"
20100,"Dover, DE"
20140,"Dublin, GA"
20180,"DuBois, PA"
20220,"Dubuque, IA"
20260,"Duluth, MN-WI"
20340,"Duncan, OK"
20380,"Dunn, NC"
20420,"Durango, CO"
20460,"Durant, OK"
20500,"Durham, NC"
20540,"Dyersburg, TN"
20580,"Eagle Pass, TX"
20620,"East Liverpool-Salem, OH"
20700,"East Stroudsburg, PA"
20740,"Eau Claire, WI"
20780,"Edwards, CO"
20820,"Effingham, IL"
20940,"El Centro, CA"
20980,"El Dorado, AR"
21020,"Elizabeth City, NC"
21060,"Elizabethtown, KY"
21140,"Elkhart-Goshen, IN"
21220,"Elko, NV"
21260,"Ellensburg, WA"
21300,"Elmira, NY"
21340,"El Paso, TX"
21380,"Emporia, KS"
21420,"Enid, OK"
21460,"Enterprise-Ozark, AL"
21500,"Erie, PA"
21540,"Escanaba, MI"
21580,"Espanola, NM"
21640,"Eufaula, AL-GA"
21660,"Eugene-Springfield, OR"
21700,"Eureka-Arcata-Fortuna, CA"
21740,"Evanston, WY"
21780,"Evansville, IN-KY"
21820,"Fairbanks, AK"
21900,"Fairmont, WV"
21940,"Fajardo, PR"
21980,"Fallon, NV"
22020,"Fargo, ND-MN"
22100,"Farmington, MO"
22140,"Farmington, NM"
22180,"Fayetteville, NC"
22220,"Fayetteville-Springdale-Rogers, AR-MO"
22260,"Fergus Falls, MN"
22280,"Fernley, NV"
22300,"Findlay, OH"
22380,"Flagstaff, AZ"
22420,"Flint, MI"
22500,"Florence, SC"
22520,"Florence-Muscle Shoals, AL"
22540,"Fond du Lac, WI"
22580,"Forest City, NC"
22620,"Forrest City, AR"
22660,"Fort Collins-Loveland, CO"
22700,"Fort Dodge, IA"
22800,"Fort Madison-Keokuk, IA-MO"
22820,"Fort Morgan, CO"
22840,"Fort Payne, AL"
22900,"Fort Smith, AR-OK"
23020,"Fort Walton Beach-Crestview-Destin, FL"
23060,"Fort Wayne, IN"
23180,"Frankfort, KY"
23240,"Fredericksburg, TX"
23340,"Fremont, NE"
23380,"Fremont, OH"
23420,"Fresno, CA"
23460,"Gadsden, AL"
23500,"Gaffney, SC"
23540,"Gainesville, FL"
23580,"Gainesville, GA"
23660,"Galesburg, IL"
23700,"Gallup, NM"
23820,"Gardnerville Ranchos, NV"
23860,"Georgetown, SC"
23900,"Gettysburg, PA"
23940,"Gillette, WY"
23980,"Glasgow, KY"
24020,"Glens Falls, NY"
24100,"Gloversville, NY"
24140,"Goldsboro, NC"
24180,"Granbury, TX"
24220,"Grand Forks, ND-MN"
24260,"Grand Island, NE"
24300,"Grand Junction, CO"
24340,"Grand Rapids-Wyoming, MI"
24380,"Grants, NM"
24420,"Grants Pass, OR"
24500,"Great Falls, MT"
24540,"Greeley, CO"
24580,"Green Bay, WI"
24620,"Greeneville, TN"
24660,"Greensboro-High Point, NC"
