code,name
102,"Albany-Corvallis-Lebanon, OR"
104,"Albany-Schenectady-Amsterdam, NY"
112,"Ames-Boone, IA"
118,"Appleton-Oshkosh-Neenah, WI"
120,"Asheville-Brevard, NC"
122,"Atlanta-Sandy Springs-Gainesville, GA-AL"
132,"Baton Rouge-Pierre Part, LA"
138,"Beckley-Oak Hill, WV"
140,"Bend-Prineville, OR"
142,"Birmingham-Hoover-Cullman, AL"
148,"Boston-Worcester-Manchester, MA-RI-NH"
154,"Brownsville-Harlingen-Raymondville, TX"
160,"Buffalo-Niagara-Cattaraugus, NY"
164,"Cape Girardeau-Sikeston-Jackson, MO-IL"
166,"Carbondale-Marion-Herrin, IL"
172,"Charlotte-Gastonia-Salisbury, NC-SC"
174,"Chattanooga-Cleveland-Athens, TN-GA"
176,"Chicago-Naperville-Michigan City, IL-IN-WI"
178,"Cincinnati-Middletown-Wilmington, OH-KY-IN"
180,"Claremont-Lebanon, NH-VT"
184,"Cleveland-Akron-Elyria, OH"
188,"Clovis-Portales, NM"
192,"Columbia-Newberry, SC"
194,"Columbus-Auburn-Opelika, GA-AL"
198,"Columbus-Marion-Chillicothe, OH"
200,"Columbus-West Point, MS"
202,"Corbin-London, KY"
204,"Corpus Christi-Kingsville, TX"
206,"Dallas-Fort Worth, TX"
212,"Dayton-Springfield-Greenville, OH"
216,"Denver-Aurora-Boulder, CO"
218,"Des Moines-Newton-Pella, IA"
220,"Detroit-Warren-Flint, MI"
222,"Dothan-Enterprise-Ozark, AL"
232,"Eau Claire-Menomonie, WI"
242,"Fairmont-Clarksburg, WV"
244,"Fargo-Wahpeton, ND-MN"
248,"Findlay-Tiffin, OH"
252,"Fond du Lac-Beaver Dam, WI"
256,"Fort Polk South-De Ridder, LA"
258,"Fort Wayne-Huntington-Auburn, IN"
260,"Fresno-Madera, CA"
266,"Grand Rapids-Muskegon-Holland, MI"
268,"Greensboro--Winston-Salem--High Point, NC"
273,"Greenville-Spartanburg-Anderson, SC"
274,"Gulfport-Biloxi-Pascagoula, MS"
276,"Harrisburg-Carlisle-Lebanon, PA"
278,"Hartford-West Hartford-Willimantic, CT"
288,"Houston-Baytown-Huntsville, TX"
290,"Huntsville-Decatur, AL"
292,"Idaho Falls-Blackfoot, ID"
294,"Indianapolis-Anderson-Columbus, IN"
296,"Ithaca-Cortland, NY"
297,"Jackson-Humboldt, TN"
298,"Jackson-Yazoo City, MS"
304,"Johnson City-Kingsport-Bristol (Tri-Cities), TN-VA"
308,"Jonesboro-Paragould, AR"
312,"Kansas City-Overland Park-Kansas City, MO-KS"
314,"Knoxville-Sevierville-La Follette, TN"
316,"Kokomo-Peru, IN"
318,"Lafayette-Acadiana, LA"
320,"Lafayette-Frankfort, IN"
324,"Lake Charles-Jennings, LA"
330,"Lansing-East Lansing-Owosso, MI"
332,"Las Vegas-Paradise-Pahrump, NV"
336,"Lexington-Fayette--Frankfort--Richmond, KY"
338,"Lima-Van Wert-Wapakoneta, OH"
340,"Little Rock-North Little Rock-Pine Bluff, AR"
346,"Longview-Marshall, TX"
348,"Los Angeles-Long Beach-Riverside, CA"
350,"Louisville/Jefferson County-Elizabethtown-Scottsburg, KY-IN"
352,"Lubbock-Levelland, TX"
354,"Lumberton-Laurinburg, NC"
356,"Macon-Warner Robins-Fort Valley, GA"
358,"Madison-Baraboo, WI"
360,"Mansfield-Bucyrus, OH"
364,"Mayaguez-San German-Cabo Rojo, PR"
372,"Midland-Odessa, TX"
376,"Milwaukee-Racine-Waukesha, WI"
378,"Minneapolis-St. Paul-St. Cloud, MN-WI"
380,"Mobile-Daphne-Fairhope, AL"
384,"Monroe-Bastrop, LA"
388,"Montgomery-Alexander City, AL"
396,"Myrtle Beach-Conway-Georgetown, SC"
400,"Nashville-Davidson--Murfreesboro--Columbia, TN"
406,"New Orleans-Metairie-Bogalusa, LA"
408,"New York-Newark-Bridgeport, NY-NJ-CT-PA"
416,"Oklahoma City-Shawnee, OK"
420,"Omaha-Council Bluffs-Fremont, NE-IA"
422,"Orlando-Deltona-Daytona Beach, FL"
424,"Paducah-Mayfield, KY-IL"
426,"Peoria-Canton, IL"
428,"Philadelphia-Camden-Vineland, PA-NJ-DE-MD"
430,"Pittsburgh-New Castle, PA"
434,"Ponce-Yauco-Coamo, PR"
438,"Portland-Lewiston-South Portland, ME"
442,"Port St. Lucie-Sebastian-Vero Beach, FL"
450,"Raleigh-Durham-Cary, NC"
456,"Reno-Sparks-Fernley, NV"
464,"Rochester-Batavia-Seneca Falls, NY"
466,"Rockford-Freeport-Rochelle, IL"
472,"Sacramento--Arden-Arcade--Yuba City, CA-NV"
474,"Saginaw-Bay City-Saginaw Township North, MI"
476,"St. Louis-St. Charles-Farmington, MO-IL"
480,"Salisbury-Ocean Pines, MD"
482,"Salt Lake City-Ogden-Clearfield, UT"
488,"San Jose-San Francisco-Oakland, CA"
